NEW,USED,BRANDS,NAME,VEHICLE TYPE,VARIANT,TRANSMITION,PRICE,MONTHLY PAYMENT FOR 10% DOWNPAYMENT,WORK,LONG TRAVEL,BIG FAMILY,OUTDOOR,HIGH SPEED,RATING (*/5),FEEDBACK 1,FEEDBACK 2,FEEDBACK 3,SPEED (HP @ rpm)
1,0,PERODUA,AXIA,HATCHBACK,1.0L STANDARD G (AT),MANUAL,33700,449,0,1,0,0,0,4.3,surprisingly spacious for A segment car,great fc in city driving,steering feel & response is good for EPS..much better than in myvi,67hp @ 6000rpm
0,1,PERODUA,AXIA,HATCHBACK,1.0L STANDARD G (AT),AUTOMATIC,28800,373,0,1,0,0,0,4.3,surprisingly spacious for A segment car,great fc in city driving,steering feel & response is good for EPS..much better than in myvi,67hp @ 6000rpm
1,0,PERODUA,BEZZA,SEDAN,1.0 STANDARD G AT,AUTOMATIC,37980,506,0,1,0,0,0,4,Good Fuel Consumption,"New engine which cooperate with Daihatsu , 1.3L Dual VVT-i (Mainly focus on better fuel consumption.)",Equipped with a lot safety system to improved safety of car.,67hp @ 6000rpm
1,0,PERODUA,MYVI,HATCHBACK,1.3 STANDARD G MT,MANUAL,44300,590,0,1,0,0,0,4.4,"very ergonomic seating position for both front & rear seat, and rear seat get a big leg room",high fuel efficiency,quiet and refine engine,94hp @ 6000rpm
0,1,PERODUA,MYVI,HATCHBACK,1.3 STANDARD G MT,AUTOMATIC,33800,438,0,1,0,0,0,4.4,"very ergonomic seating position for both front & rear seat, and rear seat get a big leg room",high fuel efficiency,quiet and refine engine,94hp @ 6000rpm
1,0,PERODUA,ALZA,MPV,1.5 S AT,AUTOMATIC,53565,714,0,0,1,0,0,4.4,"Sporty looks : bodykit, clear lens rear brake",Quite good fc : 6.5L highway/7.6L city,Good soundproof,102hp @ 6000rpm
0,1,PERODUA,ALZA,MPV,1.5 S AT,AUTOMATIC,44800,581,0,0,1,0,0,4.4,"Sporty looks : bodykit, clear lens rear brake",Quite good fc : 6.5L highway/7.6L city,Good soundproof,102hp @ 6000rpm
1,0,PERODUA,BEZZA,SEDAN,1.3 PREMIUM X AT,AUTOMATIC,43342,578,0,1,0,0,0,3.9,Lots of space inside and in the boot (with full size spare tyre).,Good fuel consumption. I just done 3100 km and am now averaging 18 km/L.,"Has decent features. (keyless+push start, USB charger,Bluetooth+USB radio,front+rear sensors,508L boot)",94hp @ 6000rpm
0,1,PERODUA,BEZZA,SEDAN,1.3 PREMIUM X AT,AUTOMATIC,34900,452,0,1,0,0,0,3.9,Lots of space inside and in the boot (with full size spare tyre).,Good fuel consumption. I just done 3100 km and am now averaging 18 km/L.,"Has decent features. (keyless+push start, USB charger,Bluetooth+USB radio,front+rear sensors,508L boot)",94hp @ 6000rpm
1,0,PERODUA,AXIA,HATCHBACK,ADVANCE 1.0 AT,AUTOMATIC,41497,553,0,1,0,0,0,4.3,Great fuel efficiency. Not as real as claimed but better than most cars on the road.,Engine suitable for its size and can go quite fast when pushed.,Fit and finish is not bad at all despite being a budget car.,67hp @ 6000rpm
